,gdppercap,gdp,EPI.new,GHN.new,GHP.new,clusters,,,
149,6776.480077,4.0587E+11,37.2,7.9,25.1,0,,,
99,11817.52393,6189865408,37.4,65.2,60.7,0,,,
106,3741.057769,427094119.1,37.4,89.8,71.3,0,,,
173,20795.04235,71177146197,37.4,35,20,0,,,
134,15345.09668,2.24042E+12,37.5,0,8.4,2,,,
117,2255.425986,15671583878,37.7,40.3,63.3,0,,,
118,533.0287638,13969605583,37.7,30,82.7,0,,,
140,30436.2783,1.10815E+12,37.9,0.2,1.6,0,,,
160,6908.802119,4.95341E+11,38.1,9.5,42,0,,,
174,2255.151155,80391853885,38.2,18.8,43.2,0,,,
178,1487.907764,29784454056,38.4,33.7,73.9,0,,,
69,18989.7902,15357537068,38.5,56,37,0,,,
9,7736.701232,78721058824,38.6,28.9,42.1,0,,,
61,6627.70698,24605375420,39.1,43.2,50.8,0,,,
20,7585.375002,24527507288,39.4,39.5,27.2,0,,,
127,7125.829235,2.42632E+11,39.8,22,62.8,0,,,
19,3523.273733,43068885673,40.1,19.2,25.7,0,,,
132,2447.988989,14615532210,40.1,46.1,54.2,0,,,
68,775.8289657,1633559092,40.2,63.4,82.8,0,,,
97,645.1586921,13164667627,40.6,42.4,100,0,,,
165,3776.667779,46664948952,40.7,41.2,61.1,0,,,
50,5127.321668,32488720000,40.8,50,76.3,0,,,
84,11243.67123,2.20623E+11,40.9,10.2,5.2,0,,,
126,6153.055677,41722295362,40.9,33.1,42.7,0,,,
5,13686.00867,6.3277E+11,41.1,11.7,33.4,0,,,
27,3902.589049,2314816792,41.9,77.4,80.1,0,,,
11,30152.03468,44390820479,42,30.9,0,0,,,
47,10120.55116,1.13642E+11,42.2,33.1,56.9,0,,,
35,6630.282726,3.43939E+11,42.4,14.8,53.7,0,,,
87,43233.48909,1.84558E+11,42.4,19.3,0,0,,,
18,3266.362774,2539551327,42.5,61.4,56.6,0,,,
36,1484.892465,1242519407,42.5,76.4,98.6,0,,,
107,5562.613625,14420947884,42.7,51.2,59.4,0,,,
0,363.6740871,14583135237,43.6,45.3,100,0,,,
22,8917.673898,1.9201E+12,43.6,0,43.2,2,,,
83,4204.50564,47451499859,43.6,40.1,66.8,0,,,
163,4425.970591,469228124.2,43.8,87,60.1,0,,,
142,9393.628906,63501748652,43.9,27.5,20,0,,,
51,7053.467085,11813908448,44.8,52.6,19,0,,,
104,10216.29474,12898307089,44.8,57.2,52.2,0,,,
31,427.0580963,2382618615,44.9,49.7,57,0,,,
54,4039.518036,4854167638,44.9,76.5,77.1,0,,,
157,6630.282726,45610571429,45.3,13.4,17.4,0,,,
105,11091.30543,1.41419E+12,45.5,5.3,42.3,2,,,
81,6047.216464,17097760745,45.6,55.1,61.3,0,,,
23,37152.46624,16681531646,45.7,44.7,0,0,,,
154,5858.28606,3620655116,45.9,61.8,36.5,0,,,
179,1266.996031,20678055598,46.2,40.8,77.2,0,,,
37,13198.82172,68380838316,46.3,43.4,61,0,,,
176,15975.72938,4.82359E+11,46.4,22.3,40.3,0,,,
48,6391.282484,1.15049E+11,46.5,30.7,55.2,0,,,
33,15355.5065,3.01025E+11,46.7,22.7,41.1,0,,,
109,9893.515907,6095978868,46.9,56.5,30.6,0,,,
150,32254.62472,1.66525E+12,46.9,1.7,16.6,2,,,
1,6802.804519,18882095518,47.1,53.9,61.5,0,,,
40,9499.590202,1.07352E+11,47.5,46.7,55.7,0,,,
45,3136.11296,3515109075,47.5,74.9,80.3,0,,,
164,18222.26033,27899082337,47.8,37.7,0,0,,,
65,10016.20869,1256413185,47.9,90.9,61.5,0,,,
79,54659.75396,5.22033E+11,48.2,27.1,26.2,0,,,
6,7014.206592,19502783988,48.3,47.5,59.4,0,,,
14,7904.856243,72793457588,48.5,24.9,21.1,0,,,
86,1701.970123,223352943.2,49,99,96.3,0,,,
136,11481.49672,2065027556,49.4,88.5,66.5,0,,,
169,4533.975586,1.60503E+11,49.6,39.1,42.2,0,,,
59,8820.347338,21071739228,49.7,56.2,34.8,0,,,
16,6968.361585,2824081836,50,72.4,59.3,0,,,
30,54966.48884,2.13984E+12,50,0,2.5,2,,,
130,24274.51658,2.51945E+11,50.4,23.2,29.6,0,,,
